"gender","age","daily_meals","physical_activity","height_cm","weight_kg","bmr","carbs","actual_protein","fats","actual_calories","activity_factor","ideal_calories","ideal_protein","calorie_gap","protein_gap"
"male","29","3","0","165","101.0","1901.25","285.19","114.08","76.05","2281.5","1.2","2281.5","80.8","0.0","33.28"
"female","25","3","4","165","53.0","1275.25","302.87","121.15","80.77","2422.98","1.9","2422.98","42.4","0.0","78.75"
"male","23","2","0","170","70.0","1652.5","247.88","99.15","66.1","1983.0","1.2","1983.0","56.0","0.0","43.15"
"male","22","3","0","168","112.0","2065.0","309.75","123.9","82.6","2478.0","1.2","2478.0","89.6","0.0","34.3"
"male","19","3","2","175","67.0","1673.75","324.29","129.72","86.48","2594.31","1.55","2594.31","53.6","0.0","76.12"
"male","24","2","0","165","70.0","1616.25","242.44","96.98","64.65","1939.5","1.2","1939.5","56.0","0.0","40.98"
"male","30","3","0","155","90.0","1723.75","258.56","103.42","68.95","2068.5","1.2","2068.5","72.0","0.0","31.42"
"male","16","4","0","157","73.0","1636.25","245.44","98.18","65.45","1963.5","1.2","1963.5","58.4","0.0","39.78"
"male","23","4","0","183","110.0","2133.75","320.06","128.02","85.35","2560.5","1.2","2560.5","88.0","0.0","40.02"
"male","23","3","0","168","49.0","1430.0","214.5","85.8","57.2","1716.0","1.2","1716.0","39.2","0.0","46.6"
"male","32","2","0","165","46.0","1336.25","200.44","80.18","53.45","1603.5","1.2","1603.5","36.8","0.0","43.38"
"male","18","2","1","180","110.0","2140.0","367.81","147.12","98.08","2942.5","1.38","2953.2","88.0","-10.7","59.12"
"female","22","3","0","155","43.0","1127.75","169.16","67.67","45.11","1353.3","1.2","1353.3","34.4","0.0","33.27"
"male","25","3","3","173","69.0","1651.25","356.05","142.42","94.95","2848.41","1.73","2856.66","55.2","-8.25","87.22"
"male","26","3","0","168","52.0","1445.0","216.75","86.7","57.8","1734.0","1.2","1734.0","41.6","0.0","45.1"
"male","22","2","0","165","75.0","1676.25","251.44","100.58","67.05","2011.5","1.2","2011.5","60.0","0.0","40.58"
"male","20","3","0","170","60.0","1567.5","235.12","94.05","62.7","1881.0","1.2","1881.0","48.0","0.0","46.05"
"male","24","2","0","170","90.0","1847.5","277.12","110.85","73.9","2217.0","1.2","2217.0","72.0","0.0","38.85"
"female","44","4","0","165","92.0","1570.25","235.54","94.22","62.81","1884.3","1.2","1884.3","73.6","0.0","20.62"
"male","21","2","1","168","90.0","1850.0","317.97","127.19","84.79","2543.76","1.38","2553.0","72.0","-9.24","55.19"
"male","34","3","0","155","88.0","1683.75","252.56","101.02","67.35","2020.5","1.2","2020.5","70.4","0.0","30.62"
"male","20","3","0","163","49.0","1413.75","212.06","84.82","56.55","1696.5","1.2","1696.5","39.2","0.0","45.62"
"male","36","3","0","155","120.0","1993.75","299.06","119.62","79.75","2392.5","1.2","2392.5","96.0","0.0","23.62"
"female","28","2","0","157","75.0","1430.25","214.54","85.82","57.21","1716.3","1.2","1716.3","60.0","0.0","25.82"
"male","21","3","2","168","65.0","1600.0","310.0","124.0","82.67","2480.0","1.55","2480.0","52.0","0.0","72.0"
"male","22","2","0","168","105.0","1995.0","299.25","119.7","79.8","2394.0","1.2","2394.0","84.0","0.0","35.7"
"female","22","3","0","163","61.0","1357.75","203.66","81.46","54.31","1629.3","1.2","1629.3","48.8","0.0","32.66"
"male","24","4","1","173","61.0","1576.25","270.92","108.37","72.24","2167.34","1.38","2175.23","48.8","-7.89","59.57"
"male","24","2","0","168","77.0","1705.0","255.75","102.3","68.2","2046.0","1.2","2046.0","61.6","0.0","40.7"
"female","52","3","0","160","78.0","1359.0","203.85","81.54","54.36","1630.8","1.2","1630.8","62.4","0.0","19.14"
"male","21","4","4","180","64.0","1665.0","395.44","158.18","105.45","3163.5","1.9","3163.5","51.2","0.0","106.98"
"male","51","3","0","170","51.0","1322.5","198.38","79.35","52.9","1587.0","1.2","1587.0","40.8","0.0","38.55"
"male","30","2","1","168","91.0","1815.0","311.95","124.78","83.19","2495.63","1.38","2504.7","72.8","-9.07","51.98"
"male","21","3","0","160","45.0","1350.0","202.5","81.0","54.0","1620.0","1.2","1620.0","36.0","0.0","45.0"
"male","26","2","0","163","47.0","1363.75","204.56","81.82","54.55","1636.5","1.2","1636.5","37.6","0.0","44.22"
"male","24","3","0","163","107.0","1973.75","296.06","118.42","78.95","2368.5","1.2","2368.5","85.6","0.0","32.82"
"male","22","3","0","165","110.0","2026.25","303.94","121.58","81.05","2431.5","1.2","2431.5","88.0","0.0","33.58"
"female","29","2","1","163","82.0","1532.75","263.44","105.38","70.25","2107.53","1.38","2115.19","65.6","-7.66","39.78"
"male","21","3","0","168","67.0","1620.0","243.0","97.2","64.8","1944.0","1.2","1944.0","53.6","0.0","43.6"
"male","22","3","0","173","80.0","1776.25","266.44","106.58","71.05","2131.5","1.2","2131.5","64.0","0.0","42.58"
"female","32","3","0","142","96.0","1526.5","228.98","91.59","61.06","1831.8","1.2","1831.8","76.8","0.0","14.79"
"female","37","2","0","155","78.0","1402.75","210.41","84.16","56.11","1683.3","1.2","1683.3","62.4","0.0","21.76"
"male","25","3","0","160","104.0","1920.0","288.0","115.2","76.8","2304.0","1.2","2304.0","83.2","0.0","32.0"
"female","24","2","0","165","61.0","1360.25","204.04","81.61","54.41","1632.3","1.2","1632.3","48.8","0.0","32.81"
"male","35","3","0","163","62.0","1468.75","220.31","88.12","58.75","1762.5","1.2","1762.5","49.6","0.0","38.52"
"female","29","3","0","152","98.0","1624.0","243.6","97.44","64.96","1948.8","1.2","1948.8","78.4","0.0","19.04"
"male","26","2","1","173","96.0","1916.25","329.36","131.74","87.83","2634.84","1.38","2644.42","76.8","-9.58","54.94"
